,source,author,title,description,url,urlToImage,publishedAt,content,id,Polarity,Subjectivity,Score
1,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Reuters,Glittering gold gives markets some Christmas cheer,"MSCI's broadest index of Asia-Pacific shares outside Japan rose 0.6%. Japan's Nikkei was down 0.2%, paring earlier losses of around 1%. Gold miners in Australia led a 1.3% jump for the S&P/ASX 200.",https://economictimes.indiatimes.com/markets/stocks/news/glittering-gold-gives-markets-some-christmas-cheer/articleshow/96386683.cms,"https://img.etimg.com/thumb/msid-96386750,width-1070,height-580,imgsize-40130,overlay-etmarkets/photo.jpg",2022-12-21T03:19:42Z,"SINGAPORE: Asian stocks were trying get into a festive mood on Wednesday, and managed small gains with even Japan's Nikkei lifting off a two-month low it hit following the Bank of Japan's surprise de… [+1969 chars]",1,0.1111111111111111,0.44722222222222224,neutral
2,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,UK PM Rishi Sunak uses troops to tackle Christmas strikes,"There is a wave of winter strikes planned over the course of the next few weeks, including railway workers, healthcare workers, and border security staff, who are all demanding better pay and working conditions. Writing in ""The Sun on Sunday"", Sunak said the …",https://economictimes.indiatimes.com/news/international/world-news/uk-pm-rishi-sunak-uses-troops-to-tackle-christmas-strikes/articleshow/96325914.cms,"https://img.etimg.com/thumb/msid-96325937,width-1070,height-580,imgsize-31376,overlay-economictimes/photo.jpg",2022-12-18T19:23:17Z,"British Prime Minister Rishi Sunak on Sunday hit out at trade unions for causing misery for millions with ""particularly cruelly timed"" strikes over the Christmas holiday period as the government anno… [+2606 chars]",2,0.09999999999999999,0.19999999999999998,neutral
3,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",TNN,Slowing US inflation raises hopes for Santa Claus rally,"The rally in the global markets could spill over into India as mutual funds, flush with money from retail investors through the SIP route, remain net buyers.",https://economictimes.indiatimes.com/markets/stocks/news/slowing-us-inflation-raises-hopes-for-santa-claus-rally/articleshow/96212560.cms,"https://img.etimg.com/thumb/msid-96209413,width-1070,height-580,imgsize-86216,overlay-etmarkets/photo.jpg",2022-12-14T02:21:19Z,"MUMBAI: An inflation reading in the US that came in below analysts estimates, has now raised the hope of a Santa Claus rally around the globe, including in India.
On Tuesday evening, the US governme… [+2252 chars]",3,0.0,0.0,neutral
4,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET CONTRIBUTORS,Rising Covid cases is polishing gold’s appeal as safe haven asset,"The economic data during the week from the US remained a mixed bag with the Conference Board’s one-year inflation expectation showing an ease down in inflation from 7.1% to 6.7%, and consumer confidence index spiked to eight months high of 108.3 in December f…",https://economictimes.indiatimes.com/markets/commodities/news/rising-covid-cases-is-polishing-golds-appeal-as-safe-haven-asset/articleshow/96477616.cms,"https://img.etimg.com/thumb/msid-96477641,width-1070,height-580,imgsize-67678,overlay-etmarkets/photo.jpg",2022-12-24T10:17:12Z,"Gold prices reached a six-month high of $1833 during the week as the number of Covid cases surged across countries, triggering a safe haven appeal for the metal. At the time of writing, gold prices h… [+1978 chars]",4,0.05111111111111111,0.31972222222222224,positive
5,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,"FPIs invest Rs 10,555 cr in equities in Dec so far on moderating US inflation","Further, capital flows will be dictated by the global developments, particularly the trends in the dollar index and US bond yields. This, in turn, will be determined by the trajectory of US inflation, said V K Vijayakumar, Chief Investment Strategist at Geoji…",https://economictimes.indiatimes.com/markets/stocks/news/fpis-invest-rs-10555-cr-in-equities-in-dec-so-far-on-moderating-us-inflation/articleshow/96318125.cms,"https://img.etimg.com/thumb/msid-96318147,width-1070,height-580,imgsize-13508,overlay-etmarkets/photo.jpg",2022-12-18T08:38:50Z,"After investing over Rs 36,200 crore last month, foreign investors continued their positive momentum and have injected a net Rs 10,555 crore in Indian equities so far in December amid stabilisation i… [+2749 chars]",5,0.05555555555555555,0.27777777777777773,positive
6,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Kshitij Anand,ETMarkets Smart Talk: Govt may try to make new personal tax regime more lucrative vs older one in Budget 2023,"On the domestic front, government expenditure is likely to pick up in 2023 and the Nifty earnings are expected to grow at 15% which should keep the market resilience intact amid global macro headwinds.",https://economictimes.indiatimes.com/markets/expert-view/etmarkets-smart-talk-govt-may-try-to-make-new-personal-tax-regime-more-lucrative-vs-older-one-in-budget-2023/articleshow/96442234.cms,"https://img.etimg.com/thumb/msid-96442247,width-1070,height-580,imgsize-12634,overlay-etmarkets/photo.jpg",2022-12-23T03:39:35Z,"Though efforts will be there to propel the poor and farmers which are under stress of higher inflation. The government may try to make the new personal tax regime more lucrative vis a vis older one, … [+5586 chars]",6,-0.025,0.375,neutral
7,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Spotlight Special,Garena Free Fire MAX redeem codes December 23: Claim your rewards - Economic Times,"<ol><li>Garena Free Fire MAX redeem codes December 23: Claim your rewards  Economic Times
</li><li>Garena Free Fire MAX Redeem Codes for December 23: Win rewards - from gloo walls to special bundles  HT Tech
</li><li>Free Fire redeem codes today (23 Decembe…",https://economictimes.indiatimes.com/news/new-updates/garena-free-fire-max-redeem-codes-december-23-claim-your-rewards/articleshow/96451571.cms,"https://img.etimg.com/thumb/msid-96451633,width-1070,height-580,imgsize-80016,overlay-economictimes/photo.jpg",2022-12-23T09:34:00Z,"Garena Free Fire MAX has just released new redeem codes for 23 December, and gamers can get hold of them right away from here or directly from the Garena website created exclusively for codes. The co… [+1939 chars]",7,0.4261904761904762,0.5952380952380952,positive
8,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",IANS,"Centre defends winter session dates, says not ignoring Christmas","India News: NEW DELHI: A controversy has erupted after the dates for the winter session of Parliament were announced by the Centre, with the Opposition charging t.",https://timesofindia.indiatimes.com/india/centre-defends-winter-session-dates-says-not-ignoring-christmas/articleshow/96029618.cms,"https://static.toiimg.com/thumb/msid-96029601,width-1070,height-580,imgsize-51390,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2022-12-06T10:58:51Z,,8,0.13636363636363635,0.45454545454545453,neutral
9,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",,Celebrating Christmas,"Christmas should be so used that it may materially, mentally and spiritually give us at least a new impetus to start in the Christ Path of Truth with the beginning of the new year.",https://economictimes.indiatimes.com/opinion/speaking-tree/celebrating-christmas/articleshow/96464023.cms,https://img.etimg.com/photo/msid-91660147/speaking-tree.jpg,2022-12-23T18:00:22Z,"Let us learn how to make our celebration of Christmas a real commemoration of the holy life of Christ, to make it a spiritual and uplifting experience. I saw a shotgun adorning a Christmas tree, and … [+1555 chars]",9,-0.025454545454545462,0.3284848484848485,neutral
10,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",,"Ho-ho-horror, lovely chill that Christmas brings","Instead of joining the joyous mob and making a BFF out of BF.7, there is the December joy of scaring oneself safely at home",https://economictimes.indiatimes.com/opinion/et-commentary/ho-ho-horror-lovely-chill-that-christmas-brings/articleshow/96482390.cms,"https://img.etimg.com/thumb/msid-96482577,width-1070,height-580,imgsize-1825666,overlay-economictimes/photo.jpg",2022-12-24T14:47:43Z,"Christmas reminds me of three things: ghost stories, horror movies, and Markandey Katju. The former Supreme Court judge and our very own Ebenezer Scrooge tweeted last week how he had stepped out of h… [+4029 chars]",10,0.65,0.35,positive
11,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",NYT News Service,Why Christmas trees could cost 10% more this holiday season,Nearly three-quarters of tree growers said their wholesale prices would probably be 5% to 15% higher than last year,https://economictimes.indiatimes.com/markets/stocks/news/why-christmas-trees-could-cost-10-more-this-holiday-season/articleshow/95954667.cms,"https://img.etimg.com/thumb/msid-95954737,width-1070,height-580,imgsize-117902,overlay-etmarkets/photo.jpg",2022-12-03T04:54:15Z,"Natural Christmas trees are likely to cost about 10% more this holiday season because of rising production costs and tight supplies of farm-grown trees, according to industry estimates.
""This year, … [+4870 chars]",11,0.11666666666666665,0.32222222222222224,positive
12,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET CONTRIBUTORS,Gold traders wind down their activities ahead of Christmas and New Year,A similar scenario may unfold in the UK and euro-zone as their respective central banks ratchet up interest rates despite increasing risks to fragile growth.,https://economictimes.indiatimes.com/markets/commodities/views/gold-traders-wind-down-their-activities-ahead-of-christmas-and-new-year/articleshow/96315658.cms,"https://img.etimg.com/thumb/msid-96315754,width-1070,height-580,imgsize-70398,overlay-etmarkets/photo.jpg",2022-12-18T06:00:49Z,One of the key themes that seem to be supporting gold presently is the increased possibility of a recession in the US next year. The Federal Reserve sees the economy barely growing amid elevated infl… [+2489 chars],12,0.0,0.3125,neutral
13,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Nikhil Agarwal,"Jolly Christmas! 85% chance of Santa rally in Nifty, shows 2-decade history","While Nifty has plunged around 3% so far in December, historical trend indicates that the festive spirit may soon overpower bears. In the last 20 years, Nifty has ended on a positive note in December for 80% of the time. December has the highest average month…",https://economictimes.indiatimes.com/markets/stocks/news/jolly-christmas-85-chance-of-santa-rally-in-nifty-shows-2-decade-history/articleshow/96414797.cms,"https://img.etimg.com/thumb/msid-96414819,width-1070,height-580,imgsize-111668,overlay-etmarkets/photo.jpg",2022-12-22T04:03:01Z,"NEW DELHI: Notwithstanding the recent stress in equity markets over fears related to recession and rising Covid cases, Santy Rally may make investors richer towards the end of December if history is … [+2823 chars]",13,0.035454545454545454,0.40242424242424246,neutral
14,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Agencies,UCO Bank among 7 bank stocks that doubled investors' wealth in 2022,"Stocks in the banking pack are certainly having a Christmas bash as 2022 has turned out as the best year in five for the sector. Banking stocks such as UCO Bank, Punjab & Sind Bank and Karnataka Bank have doubled investors' wealth in the calendar year 2022 so…",https://economictimes.indiatimes.com/markets/stocks/news/uco-bank-among-7-bank-stocks-that-doubled-investors-wealth-in-2022/wealth-creator/slideshow/96333636.cms,"https://img.etimg.com/thumb/msid-96333636,width-1070,height-580,overlay-etmarkets/photo.jpg",2022-12-19T04:43:29Z,"Indian Bank advanced 111% year-to-date. The stock has also surged 135% from its 52-week low. Indian Bank has a market capitalization of Rs 36,634 crore.(With data inputs from Ritesh Presswala)",14,0.4047619047619047,0.45714285714285713,neutral
15,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Navdeep Singh,4-day selloff on Dalal Street leaves investors poorer by Rs 15 lakh crore,"Sensex ended 981 points lower at 59,845.29, while Nifty50 ended at 17,806.80 on Friday",https://economictimes.indiatimes.com/markets/stocks/news/4-day-selloff-on-dalal-street-leaves-investors-poorer-by-rs-15-lakh-crore/articleshow/96453693.cms,"https://img.etimg.com/thumb/msid-96453699,width-1070,height-580,imgsize-98376,overlay-etmarkets/photo.jpg",2022-12-23T10:37:09Z,"Twin fears of rising Covid cases and Fed rate hikes rippled through the indices acting like a Christmas party pooper for investors. Sensex lost nearly 1,000 points taking cumulative losses in the las… [+1602 chars]",15,0.0,0.0,neutral
16,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Pawan Nahar,"Selfie.Live connects music star Lee Brice, to launch his tour NFTs",Users simply take a photo at a live event or encounter with their favorite celebrity via the fan app. The celebrity then receives the photo through the celebrity app while the fan receives an autographed NFT directly to their NFT wallet.,https://economictimes.indiatimes.com/markets/cryptocurrency/selfie-live-connects-music-star-lee-brice-to-launch-his-tour-nfts/articleshow/96368648.cms,"https://img.etimg.com/thumb/msid-96368904,width-1070,height-580,imgsize-46096,overlay-etmarkets/photo.jpg",2022-12-20T09:50:58Z,"New Delhi: Selfie.Live, a mobile app that allows fans to upload selfies with celebrities and receive a digitally signed photo as an NFT, has partnered with music star Lee Brice to create special fan … [+1729 chars]",16,0.18409090909090908,0.5642857142857143,neutral
17,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Pawan Nahar,What's behind Sensex's 700-point crash? Here are 4 factors,"Erasing opening gains, BSE Sensex dropped more than 1,00 points from day's high to slip below the 61,000 mark, whereas NSE's barometer Nifty50 plunged about 225 points, slipping to 18,162.",https://economictimes.indiatimes.com/markets/stocks/news/whats-behind-sensexs-700-point-crash-here-are-4-factors/articleshow/96395337.cms,"https://img.etimg.com/thumb/msid-96395315,width-1070,height-580,imgsize-65768,overlay-etmarkets/photo.jpg",2022-12-21T09:12:36Z,"New Delhi: Domestic equity markets dropped sharply during the second half of the trading session on Wednesday as Covid fears rekindled in the light of a spurt in cases in China, the US and a few othe… [+1546 chars]",17,0.18666666666666668,0.38000000000000006,negative
18,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Reuters,"Oil climbs on expected drop in Russian exports, offsets U.S. storm impact","Russia's Baltic oil exports could fall by 20% in December from the previous month after the European Union and G7 nations imposed sanctions and a price cap on Russian crude from Dec. 5, according to traders and Reuters calculations.",https://economictimes.indiatimes.com/markets/commodities/news/oil-climbs-on-expected-drop-in-russian-exports-offsets-u-s-storm-impact/articleshow/96440361.cms,"https://img.etimg.com/thumb/msid-96440462,width-1070,height-580,imgsize-68772,overlay-etmarkets/photo.jpg",2022-12-23T02:16:22Z,"Oil prices rose on Friday on expectations of lower Russian crude exports from the Baltic region in December, offsetting worries that a looming Arctic storm across the United States could snuff out tr… [+1887 chars]",18,-0.21666666666666665,0.2916666666666667,negative
19,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Reuters,Oil rises 2% on Russian supply worries; U.S. storm impact in focus,"""Crude prices are higher as energy traders focus on Moscow's response to the price cap put on Russian oil and not so much the thousands of flight cancellations that will disrupt holiday travel,"" OANDA analyst Edward Moya said.",https://economictimes.indiatimes.com/markets/commodities/news/oil-rises-2-on-russian-supply-worries-u-s-storm-impact-in-focus/articleshow/96458254.cms,"https://img.etimg.com/thumb/msid-96458307,width-1070,height-580,imgsize-68772,overlay-etmarkets/photo.jpg",2022-12-23T12:29:21Z,"Oil prices rose 2% on Friday on expectations of a drop in Russian crude supply, which helped offset worries of a hit to U.S. transport fuel demand growth as a looming Arctic storm threatens travel du… [+2179 chars]",19,-0.062499999999999986,0.425,negative
20,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Vidya Sreedhar,Blockbuster 2022! Bank stocks clock most gains in 5 years; PSBs see best times in a decade,"The year 2017 was the best year for domestic equities after 2009, as India was among the three emerging markets which gained more than 35% in dollar terms. This sharp rally was on the back of a flood of money poured in by domestic investors that outstripped f…",https://economictimes.indiatimes.com/markets/stocks/news/blockbuster-2022-bank-stocks-clock-most-gains-in-5-years-psbs-see-best-times-in-a-decade/articleshow/96271886.cms,"https://img.etimg.com/thumb/msid-96272051,width-1070,height-580,imgsize-774215,overlay-etmarkets/photo.jpg",2022-12-16T06:34:11Z,"Stocks in the banking pack are certainly having a Christmas bash as 2022 has turned out as the best year in five for the sector.
Bank stocks gave the highest returns in five years as the Nifty Bank … [+2907 chars]",20,0.22916666666666666,0.2916666666666667,positive
21,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Kshitij Anand,"ETMarkets Smart Talk: Santa rally possible in banks, sugar & OMC stocks in coming week, says Vaishali Parekh","In light of the fact that the market seems to be showing strong support near 18000 until this level is breached, we are able to conclude that this is should be a normal profit booking process.",https://economictimes.indiatimes.com/markets/expert-view/etmarkets-smart-talk-santa-rally-possible-in-banks-sugar-omc-stocks-in-coming-week-says-vaishali-parekh/articleshow/96315955.cms,"https://img.etimg.com/thumb/msid-96315978,width-1070,height-580,imgsize-111868,overlay-etmarkets/photo.jpg",2022-12-18T06:14:26Z,"""There is a possibility that we are most likely to see a Santa rally in the Nifty Banking and Financial indices, sugar stocks along with OMC (Oil marketing company) over the coming weeks,"" says Vaish… [+4144 chars]",21,0.3166666666666666,0.6216666666666666,positive
22,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Vidya Sreedhar,"Inflation data, Fed meet, FII flows among 7 key factors that may guide markets this week","On Friday, the Nifty50 ended below the crucial support level of 18500 points at 18497 points with 0.6% losses. Even though BSE Sensex managed to close above the 62000 mark, the index shed 0.6% and settled at 62182.",https://economictimes.indiatimes.com/markets/stocks/news/inflation-data-fed-meet-fii-flows-among-key-factors-that-may-guide-markets-this-week/articleshow/96144881.cms,"https://img.etimg.com/thumb/msid-96144888,width-1070,height-580,imgsize-84144,overlay-etmarkets/photo.jpg",2022-12-11T04:32:50Z,"Domestic equities succumbed to selling pressure in the week gone by as investors booked partial profits from the recent gains and awaited fresh cues from the event-heavy week ahead.
On Friday, the N… [+5455 chars]",22,0.0,0.55,neutral
23,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Tamanna Inamdar,Next Budget needs to prioritise capex and target sectors where spending can be quick: Aditi Nayar,"“I suspect it is the margin pressure that is really dampening down on the manufacturing performance in Q2 and at least in terms of the outlook for Q3, there are positives and negatives. Q3 clearly kicked off with the good festive season. Some of the heavy num…",https://economictimes.indiatimes.com/markets/expert-view/next-budget-needs-to-prioritise-capex-and-target-sectors-where-spending-can-be-quick-aditi-nayar/articleshow/95904042.cms,"https://img.etimg.com/thumb/msid-95904025,width-1070,height-580,imgsize-37716,overlay-etmarkets/photo.jpg",2022-12-01T05:38:41Z,"It is much better to interpret the Q2 GDP numbers by comparing them to the pre-Covid quarters which are Q1 and Q2 of FY20. When we do that, we see that growth momentum has actually doubled. We have g… [+5934 chars]",23,0.057407407407407414,0.39537037037037037,positive
24,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Now,Optimistic about market turning from Tuesday; 3 must-haves in portfolio now: Sanjiv Bhasin,"“Stick with SBI, BoB and CanBank among the largecaps in financials. As a disclosure, we were very bullish on PNB and Union Bank. That has more than doubled. We have taken some chips off the table but we still think there is room and one can continue to grow i…",https://economictimes.indiatimes.com/markets/expert-view/optimistic-about-market-turning-from-tuesday-3-must-haves-in-portfolio-now-sanjiv-bhasin/articleshow/96314289.cms,"https://img.etimg.com/thumb/msid-96314309,width-1070,height-580,imgsize-23656,overlay-etmarkets/photo.jpg",2022-12-18T04:15:20Z,"Tech Mahindra, SRF and are the three must-haves in a portfolio now. could be giving the opportunity maybe this year and next year. They have guided on the upside. It would be my top pick. Second woul… [+6052 chars]",24,0.35,0.4,neutral
25,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Sneha Kulkarni,Is it a bank holiday in Gujarat today?,"According to the Reserve Bank of India holiday list 2022, banks in Gujarat will be closed on Monday, December 5, 2022, due to Gujarat Legislative Assembly Elections.",https://economictimes.indiatimes.com/wealth/save/is-it-a-bank-holiday-in-gujarat-today/articleshow/95993124.cms,"https://img.etimg.com/thumb/msid-95993331,width-1070,height-580,imgsize-442881,overlay-etwealth/photo.jpg",2022-12-05T05:31:45Z,"Banks in Gujarat are closed on Monday (December 5, 2022) due to Gujarat Legislative Assembly Elections 2022, according to the Reserve Bank of India holiday list 2022.Also, the Maharashtra government … [+2001 chars]",25,-0.1125,0.2375,negative
26,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",AP,"Bethlehem rebounds from pandemic, lifting Christmas spirits","Middle East News: BETHLEHEM: The biblical town of Bethlehem marked what was shaping up to be a merry Christmas on Saturday, with thousands of visitors expected to desce.",https://timesofindia.indiatimes.com/world/middle-east/bethlehem-rebounds-from-pandemic-lifting-christmas-spirits/articleshow/96479782.cms,"https://static.toiimg.com/thumb/msid-96481973,width-1070,height-580,imgsize-180036,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2022-12-24T15:06:50Z,,26,0.0,0.3333333333333333,neutral
27,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Reuters,No Christmas ceasefire in Ukraine: Russia,"Russia and Ukraine are not currently engaged in talks to end the fighting, which is raging in the east and south and reached Kyiv again on Wednesday. Tens of thousands of people have been killed, millions more displaced and cities reduced to rubble since Russ…",https://timesofindia.indiatimes.com/world/europe/no-christmas-ceasefire-in-ukraine-russia/articleshow/96239408.cms,"https://static.toiimg.com/thumb/msid-96239518,width-1070,height-580,imgsize-70544,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2022-12-15T02:37:58Z,,27,0.09999999999999999,0.3,neutral
28,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Reuters,Russia says no Christmas ceasefire in Ukraine,"Violence returned to Kyiv on Wednesday, with the first major drone attack on Ukraine's capital in weeks. Two administrative buildings were hit, but air defences largely repelled the attack. Ukrainian President Volodymyr Zelenskiy said 13 drones had been shot …",https://timesofindia.indiatimes.com/world/europe/russia-says-no-christmas-ceasefire-in-ukraine/articleshow/96244966.cms,"https://static.toiimg.com/thumb/msid-96244951,width-1070,height-580,imgsize-70544,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2022-12-15T06:27:47Z,,28,0.1755952380952381,0.42063492063492064,neutral
29,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",AP,Bethlehem welcomes Christmas tourists after pandemic lull,"Elias Arja, head of the Bethlehem hotel association, said that tourists are hungry to visit the Holy Land's religious sites after suffering through lockdowns and travel restrictions in recent years. He expects the rebound to continue into next year.",https://timesofindia.indiatimes.com/world/middle-east/bethlehem-welcomes-christmas-tourists-after-pandemic-lull/articleshow/96246718.cms,"https://static.toiimg.com/thumb/msid-96246694,width-1070,height-580,imgsize-253092,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2022-12-15T07:32:13Z,,29,0.0,0.16666666666666666,neutral
30,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",AFP,Ukraine flags vie with Christmas decor as Zelenskyy visits Washington,"Days before the year-end holiday, downtown Washington's streets were dominated Wednesday not just by Christmas decor but by the flag of Ukraine, marking the surprise visit to the US capital by Volodymyr Zelenskyy.",https://timesofindia.indiatimes.com/world/europe/ukraine-flags-vie-with-christmas-decor-as-zelenskyy-visits-washington/articleshow/96414077.cms,"https://static.toiimg.com/thumb/msid-96414067,width-1070,height-580,imgsize-28104,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2022-12-22T03:20:08Z,,30,0.0,0.0,neutral
31,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",AFP,"Pope says spend less on Christmas, give to Ukraine","Europe News: VATICAN CITY: Pope Francis on Wednesday called on people to spend less on Christmas presents and celebrations, and donate the money saved to those in .",https://timesofindia.indiatimes.com/world/europe/pope-says-spend-less-on-christmas-give-to-ukraine/articleshow/96223344.cms,"https://static.toiimg.com/thumb/msid-96223477,width-1070,height-580,imgsize-1286356,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2022-12-14T09:48:03Z,,31,-0.16666666666666666,0.06666666666666667,negative
32,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ANI,"Dressed as SpiderMan, Prince Harry shares touching Christmas message for children's charity","According to a report by US-based entertainment outlet, People, the 38-year-old British Royal donned the costume of Spider-Man to deliver a video message to the 'Scotty's Little Soldiers', a charity organisation, at their annual Christmas party.",https://timesofindia.indiatimes.com/world/uk/dressed-as-spiderman-prince-harry-shares-touching-christmas-message-for-childrens-charity/articleshow/95980333.cms,"https://static.toiimg.com/thumb/msid-95980510,width-1070,height-580,imgsize-33562,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2022-12-04T11:15:29Z,"Prince Harry, the Duke of Sussex, shares this Christmas message for Scotty's Little Soldiers",32,-0.09375,0.25,negative
